returns,vendors,year-month
-1,google,2005-01
-1,interloper,2005-01
-1,allweb,2005-02
-1,google,2005-02
-1,,2005-03
-1,vendor,2005-03
-1,google,2005-03
-1,allweb,2005-04
-7,,2005-04
-1,google,2005-04
-1,online ad,2005-05
-1,vendor,2005-05
-7,,2005-05
-6,google,2005-05
-1,friend,2005-05
-2,ebay,2005-05
-2,ebay,2005-06
-3,,2005-06
-1,yahoo,2005-06
-1,allweb,2005-06
-2,msn,2005-06
-4,google,2005-06
-5,google,2005-07
-2,msn,2005-07
-1,,2005-07
-1,allweb,2005-07
-2,friend,2005-07
-2,brokerbin,2005-08
-7,msn,2005-08
-5,,2005-08
-2,other,2005-08
-4,google,2005-08
-3,ebay,2005-08
-5,,2005-09
-1,yahoo,2005-09
-1,online ad,2005-09
-4,allweb,2005-09
-8,google,2005-09
-1,copernic,2005-09
-10,ebay,2005-09
-8,google,2005-10
-2,yahoo,2005-10
-1,aol,2005-10
-31,,2005-10
-1,other,2005-10
-4,ebay,2005-10
-2,allweb,2005-10
-17,allweb,2005-11
-4,google,2005-11
-2,,2005-11
-2,yahoo,2005-11
-1,other,2005-11
-12,ebay,2005-11
-1,friend,2005-12
-7,allweb,2005-12
-3,return customer,2005-12
-11,ebay,2005-12
-3,yahoo,2005-12
-1,aol,2005-12
-4,other,2005-12
-80,google,2005-12
-6,,2005-12
-1,brokerbin,2005-12
-1,copernic,2005-12
-1,brokerbin,2006-01
-18,google,2006-01
-1,other,2006-01
-3,return customer,2006-01
-16,allweb,2006-01
-15,ebay,2006-01
-1,friend,2006-01
-4,,2006-01
-1,pricewatch,2006-01
-2,interloper,2006-01
-1,pricewatch,2006-02
-12,google,2006-02
-1,return customer,2006-02
-12,ebay,2006-02
-12,,2006-02
-2,other,2006-02
-3,allweb,2006-02
-2,vendor,2006-02
-16,friend,2006-02
-11,ebay,2006-03
-4,vendor,2006-03
-6,google,2006-03
-17,friend,2006-03
-2,allweb,2006-03
-19,,2006-03
-25,ebay,2006-04
-7,allweb,2006-04
-7,google,2006-04
-2,vendor,2006-04
-1,brokerbin,2006-04
-1,return customer,2006-04
-2,friend,2006-04
-23,,2006-04
-4,altavista,2006-04
-1,excite,2006-05
-4,dogpile,2006-05
-8,ebay,2006-05
-2,yahoo,2006-05
-5,google,2006-05
-1,brokerbin,2006-05
-12,,2006-05
-1,allweb,2006-05
-1,ebay,2006-06
-1,excite,2006-06
-2,friend,2006-06
-2,yahoo,2006-06
-31,,2006-06
-11,google,2006-06
-16,,2006-07
-7,google,2006-07
-1,friend,2006-07
-8,ebay,2006-07
-2,vendor,2006-07
-2,webferret,2006-08
-1,vendor,2006-08
-10,google,2006-08
-6,yahoo,2006-08
-17,,2006-08
-6,ebay,2006-08
-9,,2006-09
-8,ebay,2006-09
-1,msn,2006-09
-6,google,2006-09
-2,yahoo,2006-09
-2,allweb,2006-09
-2,interloper,2006-09
-6,ebay,2006-10
-3,google,2006-10
-2,yahoo,2006-10
-2,,2006-10
-1,msn,2006-10
-6,allweb,2006-10
-4,google,2006-11
-1,allweb,2006-11
-4,,2006-11
-5,ebay,2006-11
-4,google,2006-12
-1,,2006-12
-3,ebay,2006-12
-4,yahoo,2006-12
-3,,2007-01
-2,yahoo,2007-01
-8,google,2007-01
-8,ebay,2007-01
-4,allweb,2007-01
-5,google,2007-02
-3,ebay,2007-02
-1,,2007-02
-2,yahoo,2007-03
-1,brokerbin,2007-03
-27,google,2007-03
-1,,2007-03
-1,ebay,2007-03
-2,dogpile,2007-03
-5,allweb,2007-03
-20,google,2007-04
-2,allweb,2007-04
-6,ebay,2007-04
-2,interloper,2007-04
-1,,2007-04
-2,dogpile,2007-04
-31,google,2007-05
-1,askjeeves,2007-05
-8,,2007-05
-1,ebay,2007-05
-3,allweb,2007-05
-2,ebay,2007-06
-81,google,2007-06
-1,askjeeves,2007-06
-10,,2007-06
